image_file,correct_answer,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,okay_country_trials.thisRepN,okay_country_trials.thisTrialN,okay_country_trials.thisN,okay_country_trials.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,instructions_countries_task.started,task_instructions_2.started,instructions_resp_2.started,instructions_countries_task.stopped,instructions_resp_2.keys,instructions_resp_2.rt,instructions_resp_2.duration,Country_Naming_Task.started,stimuli_prompt_4.started,country_response.started,okay_country_pics.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.003562599995348137,0.029882499999075662,0.029882499999075662,0.757986799995706,space,0.7219792000032612,None,,,,,,,,,,,,033734,001,2025-04-11_21h19.30.209,state_naming_task,2024.2.4,59.79209094181774,2025-04-11 21h19.36.222571 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7584674999961862,0.7763344999984838,0.7763344999984838,1.4281725999971968,space,0.6448872000037227,None,,,,,033734,001,2025-04-11_21h19.30.209,state_naming_task,2024.2.4,59.79209094181774,2025-04-11 21h19.36.222571 -0600,
south_america/Guyana-Country-Outline.jpg,Guyana,0,0,0,,,,,,,,,,,,,0,0,0,6,1.537946499993268,,,,,,,,,,,,,,,,1.5089681999961613,1.9567625999989104,1.9567625999989104,1.9567625999989104,,,,,,,,
