image_file,correct_answer,thisN,thisTrialN,thisRepN,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,task_instructions.started,instruction_resp.started,instructions.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,state_pics.started,textbox.started,stimuli_prompt.stopped,state_pics.stopped,textbox.stopped,State_Naming_Task.stopped,trials.textbox.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.018279600000823848,0.031797999999980675,0.031797999999980675,41.14343430000008,space,41.09302269999898,None,,,,,,,,,,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Arkansas-Outline-Map.jpg,Arkansas,0,0,0, Delaware,0,0,0,4,41.27405060000092,,,,,,,,,41.211463299998286,41.654019899997365,41.654019899997365,41.654019899997365,48.746434699998645,48.746434699998645,48.746434699998645,48.64312459999928, Delaware,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Hawaii-Outline-Map.jpg,Hawaii,1,1,0,Hawaii,0,1,1,11,48.746434699998645,,,,,,,,,48.69395149999764,49.15587269999742,49.15587269999742,49.15587269999742,56.22143059999871,56.22143059999871,56.22143059999871,56.14104859999861,Hawaii,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Delaware-Outline-Map.jpg,Delaware,2,2,0,Idaho,0,2,2,8,56.22143059999871,,,,,,,,,56.19702889999826,56.654784300000756,56.654784300000756,56.654784300000756,63.71908819999953,63.71908819999953,63.71908819999953,63.64313770000081,Idaho,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Idaho-Outline-Map.jpg,Idaho,3,3,0,Idaho,0,3,3,12,63.71908819999953,,,,,,,,,63.6907738000009,64.15673769999921,64.15673769999921,64.15673769999921,71.20284809999794,71.20284809999794,71.20284809999794,71.14264199999889,Idaho,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Alaska-Outline-Map.jpg,Alaska,4,4,0,Alaska,0,4,4,1,71.20284809999794,,,,,,,,,71.18259409999882,71.65753839999888,71.65753839999888,71.65753839999888,,,,78.64429949999976,Alaska,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Florida-Outline-Map.jpg,Florida,5,5,0,Florida,0,5,5,9,78.75218069999755,,,,,,,,,78.70456969999941,79.15891560000091,79.15891560000091,79.15891560000091,,,,86.14442439999766,Florida,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Colorado-Outline-Map.jpg,Colorado,6,6,0,Colorado,0,6,6,6,86.23206030000074,,,,,,,,,86.18895390000034,86.6590432999983,86.6590432999983,86.6590432999983,,,,93.64758339999753,Colorado,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Arizona-Outline-Map.jpg,Arizona,7,7,0,Nevada,0,7,7,3,93.69489149999936,,,,,,,,,93.6794837999987,94.14282159999857,94.14282159999857,94.14282159999857,101.21471059999749,101.21471059999749,101.21471059999749,101.13281809999899,Nevada,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Illinois-Outline-Map.jpg,Illinois,8,8,0,Georgia,0,8,8,13,101.21471059999749,,,,,,,,,101.18567099999927,101.64395669999794,101.64395669999794,101.64395669999794,108.75435500000094,108.75435500000094,108.75435500000094,108.63419299999805,Georgia,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Wyoming-Outline-Map.jpg,Wyoming,9,9,0,Colorado,0,9,9,2,108.75435500000094,,,,,,,,,108.71677920000002,109.14523469999767,109.14523469999767,109.14523469999767,116.2179576999988,116.2179576999988,116.2179576999988,116.1349971999989,Colorado,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Alabama-Outline-Map.jpg,Alabama,10,10,0,Delaware,0,10,10,0,116.2179576999988,,,,,,,,,116.19313939999847,116.64607989999786,116.64607989999786,116.64607989999786,123.80008559999987,123.80008559999987,123.80008559999987,123.63671509999767,Delaware,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/California-Outline-Map.jpg,California,11,11,0,California,0,11,11,5,123.80008559999987,,,,,,,,,123.74212559999796,124.14761069999804,124.14761069999804,124.14761069999804,131.23405679999996,131.23405679999996,131.23405679999996,131.13406039999973,California,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Connecticut-Outline-Map.jpg,Connecticut,12,12,0,Arizona,0,12,12,7,131.23405679999996,,,,,,,,,131.20474049999757,131.6478277999995,131.6478277999995,131.6478277999995,138.72321079999892,138.72321079999892,138.72321079999892,138.63494290000017,Arizona,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
states/Georgia-Outline-Map.jpg,Georgia,13,13,0,Kevin,0,13,13,10,138.72321079999892,,,,,,,,,138.69348679999894,139.14901869999812,139.14901869999812,139.14901869999812,146.14892300000065,146.14892300000065,146.14892300000065,146.13575760000094,Kevin,401304,001,2025-04-11_17h35.09.128,state_naming_task,2024.2.4,60.10124655994661,2025-04-11 17h35.15.528678 -0600,
