image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,okay_states_trials.thisRepN,okay_states_trials.thisTrialN,okay_states_trials.thisN,okay_states_trials.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,States_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,stimuli_prompt.stopped,state_pics.stopped,us_state_response.stopped,States_Naming_Task.stopped,okay_states_trials.us_state_response.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0033108999996329658,0.015884500000538537,0.015884500000538537,21.143134900001314,space,21.111311799999385,None,,,,,,,,,,931539,001,2025-04-11_19h50.45.119,state_naming_task,2024.2.4,59.97321596245834,2025-04-11 19h50.50.768625 -0600,
states/Florida-Outline-Map.jpg,Florida,0,0,0,Florida,0,0,0,6,21.28006330000062,,,,,,,,,21.241939399998955,21.64404989999821,21.64404989999821,21.64404989999821,28.74884899999961,28.74884899999961,28.74884899999961,28.63098919999902,Florida,931539,001,2025-04-11_19h50.45.119,state_naming_task,2024.2.4,59.97321596245834,2025-04-11 19h50.50.768625 -0600,
states/Utah-Outline-Map.jpg,Utah,1,1,0,,0,1,1,28,28.74884899999961,,,,,,,,,28.711420399999042,29.146881500000745,29.146881500000745,29.146881500000745,,,,,,,,,,,,,
