image_file,correct_answer,thisN,thisTrialN,thisRepN,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,task_instructions.started,instruction_resp.started,instructions.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,textbox.started,State_Naming_Task.stopped,trials.textbox.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0029137000001355773,0.01760400000057416,0.01760400000057416,15.589191400000345,space,15.556014499999947,None,,,,,,224731,001,2025-04-11_13h54.18.996,state_naming_task,2024.2.4,60.03027927324486,2025-04-11 13h54.23.828796 -0600,
states/Alaska-Outline-Map.jpg,Alaska,0,0,0, sdgsd,0,0,0,2,15.608235700001387,,,,,,,,,15.596568800001478,16.102564600001642,16.102564600001642,23.59517550000055, sdgsd,224731,001,2025-04-11_13h54.18.996,state_naming_task,2024.2.4,60.03027927324486,2025-04-11 13h54.23.828796 -0600,
states/Wyoming-Outline-Map.jpg,Wyoming,1,1,0,,0,1,1,1,23.611387100001593,,,,,,,,,23.595532100000128,24.095155500001056,24.095155500001056,,,,,,,,,,
