image_file,correct_answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,task_instructions.started,instruction_resp.started,instructions.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,state_pics.started,key_resp.started,State_Naming_Task.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.01591770000231918,0.03053630000067642,0.03053630000067642,3.304113599999255,space,3.2644156999995175,None,,,,,,,,,265699,001,2025-04-11_15h57.57.575,state_naming_task,2024.2.4,60.095503774222955,2025-04-11 15h58.03.248189 -0600,
states/Alabama-Outline-Map.jpg,Alabama,0,0,0,space,3.218829299999925,None,0,0,0,0,3.8682564000009734,,,,,,,,,3.5195643000006385,3.9164629000006244,3.9164629000006244,3.9164629000006244,7.151934000001347,space,3.218829299999925,None,265699,001,2025-04-11_15h57.57.575,state_naming_task,2024.2.4,60.095503774222955,2025-04-11 15h58.03.248189 -0600,
states/Alaska-Outline-Map.jpg,Alaska,1,1,0,space,1.3003305999991426,None,0,1,1,1,7.226841200001218,,,,,,,,,7.192717199999606,7.665157400002499,7.665157400002499,7.665157400002499,8.968551500001922,space,1.3003305999991426,None,265699,001,2025-04-11_15h57.57.575,state_naming_task,2024.2.4,60.095503774222955,2025-04-11 15h58.03.248189 -0600,
states/Wyoming-Outline-Map.jpg,Wyoming,2,2,0,space,1.809943200001726,None,0,2,2,2,9.136112500000309,,,,,,,,,9.070936700001766,9.482129500000156,9.482129500000156,9.482129500000156,11.301972500001284,space,1.809943200001726,None,265699,001,2025-04-11_15h57.57.575,state_naming_task,2024.2.4,60.095503774222955,2025-04-11 15h58.03.248189 -0600,
