image_file,correct_answer,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,task_instructions.started,instruction_resp.started,instructions.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,State_Naming_Task.started,stimuli_prompt.started,state_pics.started,textbox.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.014322300001367694,0.028183800000988413,0.028183800000988413,4.351753099999769,space,4.30455350000193,None,,,,,,607527,001,2025-04-11_16h00.27.710,state_naming_task,2024.2.4,61.69621401191685,2025-04-11 16h00.34.034871 -0600,
states/Alabama-Outline-Map.jpg,Alabama,0,0,0,0,0,0,0,4.495486899999378,,,,,,,,,4.425176600001578,4.861470299998473,4.861470299998473,4.861470299998473,4.861470299998473,,,,,,,,
